symbol,openTotal,closedTotal,wonTotal,lostTotal,streakWonLongest,streakLostLongest,pnlNetTotal,pnlNetAverage,drawdown,sharpe_Ratio,vRW,sQN
SPY,0,655,418,237,10,5,2162017.4861146444,3300.7900551368616,2.9806593480428227,0.734163983473196,4.017500266878234,3.4694486225999035
SQQQ,1,283,99,184,4,14,-99092.54561816745,-350.15033787338325,99.3729050152744,-0.9882674476677766,25.780378695871256,-1.6919493441574238
SLV,0,358,190,168,10,5,939.1528267254444,2.6233319182274983,33.88664589071241,0.0620987216729538,0.04044946876010115,0.009487476297470066
XLF,0,521,311,210,10,6,391046.8313643607,750.5697339047231,8.01905183502683,0.36532545433091257,2.6859298177465036,1.6234228978078076
QQQ,0,503,294,209,9,7,400661.488319593,796.5437143530676,3.728809554398946,0.38342512528390654,2.7427799582597707,2.663234693818113
EEM,0,445,263,182,9,10,327118.0314752823,735.0966999444546,3.4721485893452493,0.425700122102132,3.1078582514505273,1.6329872252060809
UVXY,1,230,73,157,3,27,-99974.37808328755,-434.67120905777193,99.97509100880448,-0.5427354240964594,142.47937354583684,-2.3149830561624243
TQQQ,0,215,133,82,9,4,341770.585551448,1589.6306304718512,9.51285398723275,0.5103052742432435,5.354114419177924,1.0952866539973272
SPXS,1,322,121,201,3,9,-97622.642519195,-303.17590844470493,97.8725064685925,-0.6700763510816552,10.986155082294704,-2.3876207803845855
VXX,1,68,25,43,3,6,-51317.39975606838,-754.6676434715938,54.69606143043798,-0.33739178370337203,-7.386403802575311,-1.1359172483199707
GDX,1,362,180,182,7,9,-7333.585706853935,-20.258524052082695,5.355516346390219,0.11268806343335452,-0.10892822621821946,-0.09797125153411754
IAU,0,400,231,169,11,6,303819.17907236563,759.547947680914,3.951655394144012,0.6035757112010988,3.3603897170193577,2.256097566491364
SPXU,1,309,117,192,3,9,-94530.89015953962,-305.9252108722965,95.75256132999009,-0.5797406037123962,4.523221745629344,-1.5397885233407003
EWZ,0,491,261,230,8,8,189690.76122765473,386.3355625817815,31.040069276852247,0.2777721250563906,2.039709849219147,0.6599662171537856
HYG,0,298,173,125,7,6,-5777.247668192881,-19.38673714158685,14.26628887013765,-0.1403499689155222,-0.2674454328014842,-0.20589302573711005
XLE,0,540,314,226,11,7,581189.4759714389,1076.2768073545164,38.79425533781694,0.439982203947975,3.190967180941191,1.0023626309877567
IWM,0,489,287,202,8,6,643561.2771319259,1316.0762313536318,14.505738202641853,0.5330820122568545,3.574978172414162,1.9343031183064816
